page,y0,x0,text,font_size,bold,alignment,is_dateish
54,402.26,56.64,28.DepositsandBalancesfromCustomers,9.0,True,left,False
55,85.46,56.64,29.OtherLiabilities,9.0,True,left,False
55,339.62,56.64,30.OtherDebtSecurities,9.0,True,left,False
55,513.53,57.6,30.1Negotiablecertificatesofdepositissuedandoutstandingasat31Decemberareasfollows:,9.0,True,left,False
56,80.92,57.6,30.2Seniormediumtermnotesissuedandoutstandingasat31Decemberareasfollows:,9.0,True,left,False
56,427.65,57.62,30.5Otherdebtsecuritiesissuedandoutstandingasat31Decemberareasfollows:,9.0,True,left,False
56,615.14,57.6,31.ShareCapital,9.0,True,left,False
57,82.3,54.59,32. Other Equity Instruments,9.0,True,left,False
57,85.46,57.6,32.OtherEquityInstruments,9.0,True,left,False
57,312.89,57.6,"32.1Distributionsarepayableat3.98%perannumupto12September2025.Thereafter,thedistributionrateresetsevery",9.0,True,left,False
57,364.62,57.6,"32.2Distributionsarepayableat3.30%perannumupto27February2025.Thereafter,thedistributionrateresetsevery",9.0,True,left,False
57,428.01,54.94,33. Other Reserves and Revenue Reserves,9.0,True,left,False
57,431.3,57.6,33.OtherReservesandRevenueReserves,9.0,True,left,False
57,453.51,56.08,33.1 Other reserves,9.0,True,left,False
59,422.11,55.89,33.2 Revenue reserves,9.0,True,left,False
60,82.1,54.58,34. Non-controlling Interests,9.0,True,left,False
60,85.46,57.6,34.Non-controllingInterests,9.0,True,left,False
60,351.64,57.6,34.1Thepreferredshareshaveanannualdividendrateof4.0%from20January2015to(butexcluding)20January,9.0,True,left,False
61,82.42,54.55,35. Contingent Liabilities and Commitments,9.0,True,left,False
61,85.46,57.6,35.ContingentLiabilitiesandCommitments,9.0,True,left,False
62,81.99,54.72,36 Financial Derivatives,9.0,True,left,False
62,82.42,83.5,Financial Derivatives,9.0,True,center,False
62,107.13,55.84,36.1 Trading derivatives,9.0,True,left,False
62,220.7,55.81,36.2 Hedging derivatives,9.0,True,left,False
62,223.85,57.59,36.2Hedgingderivatives,9.0,True,left,False
64,83.46,54.72,37 Interest Rate Benchmark Reform,9.0,True,left,False
64,242.87,55.28,Changesin contractual cashflowsoffinancial instruments,9.0,True,left,False
64,311.4,55.88,Hedge accounting,9.0,True,left,False
64,404.4,55.64,How the Group ismanagingthe transition to ARRs,9.0,True,left,False
64,570.02,56.14,The Grouphas identified that the risks arising from IBOR reform are:,9.0,False,left,False
65,78.66,55.76,Exposures impacted by IBOR reform,9.0,True,left,False
66,82.25,54.8,38. Hedge Accounting,9.0,True,left,False
66,85.46,57.6,38.HedgeAccounting,9.0,True,left,False
66,169.29,55.34,38.1 Fairvaluehedge,9.0,True,left,False
68,526.64,55.42,38.2 Cash flow hedge,9.0,True,left,False
70,78.51,55.75,38.3 Net investment hedge,9.0,True,left,False
71,82.18,54.59,39. Share-based Compensation Plans,9.0,True,left,False
71,85.46,57.6,39.Share-basedCompensationPlans,9.0,True,left,False
71,608.22,55.67,39.1 DBSH Share Plan and DBSH Employee Share Plan,9.0,True,left,False
72,226.95,57.6,39.2DBSHEmployeeSharePurchasePlan,9.0,True,left,False
72,430.81,55.08,40. Related Party Transactions,9.0,True,left,False
72,433.94,57.6,40.RelatedPartyTransactions,9.0,True,left,False
72,571.64,57.61,40.3Totalcompensationandfeestokeymanagementpersonnel(a)areasfollows:,9.0,True,left,False
73,78.8,55.65,40.4 Income received from and expenses paid to related parties,9.0,True,left,False
73,267.75,57.6,40.5Amountsduefromandtorelatedparties,9.0,True,left,False
73,420.57,55.65,40.6 Guarantees issued to and received from related parties,9.0,True,left,False
74,84.85,55.22,41. FairValue of Financial Instruments,9.0,True,left,False
74,111.3,55.98,41.1 Valuation Process,9.0,True,left,False
74,114.32,57.6,41.1ValuationProcessinputs.,9.0,True,left,False
74,132.71,314.01,Credit Valuation Adjustments,9.0,True,center,False
74,226.08,313.77,Funding Valuation Adjustments,9.0,True,center,False
74,298.41,314.04,Day 1 ProfitorLoss(P&L) Reserve,9.0,True,center,False
74,453.51,314.26,Bid-OfferAdjustments,9.0,True,center,False
74,526.37,314.57,41.2 FairValue Hierarchy,9.0,True,center,False
75,36.07,55.56,DBS Bank Ltd. and its subsidiaries Notes to the financial statements For the Year ended 31 December 2022,9.0,True,left,True
76,417.74,55.08,41.3 Own credit adjustments on financial liabilities designated at fair value through profit or loss,9.0,True,left,False
76,593.02,55.15,41.4 Financial assets & liabilities not carried at fair value,9.0,True,left,False
77,82.06,55.85,42. Risk Governance,9.0,True,left,False
77,85.46,57.6,42.RiskGovernance,9.0,True,left,False
77,489.81,55.58,Key responsibilities:,9.0,False,left,False
78,82.0,55.69,43. Credit Risk,9.0,True,left,False
78,85.46,57.6,43.CreditRisk,9.0,True,left,False
78,179.92,55.62,Credit RiskManagement,9.0,True,left,False
78,222.8,55.88,• Policies,9.0,True,left,False
78,441.45,332.32,Concentration RiskManagement,9.0,True,center,False
78,512.93,55.87,• Risk Methodologies,9.0,True,left,False
79,296.01,74.11,Country risk,9.0,True,center,False
79,648.31,74.62,Credit stresstesting,9.0,True,center,False
79,692.74,332.26,"Processes, Systemsand Reports",9.0,True,center,False
80,369.18,55.68,Non-performingassets,9.0,True,left,False
81,233.66,56.01,Credit RiskMitigants,9.0,True,left,False
81,254.64,56.03,Collateral received,9.0,True,left,False
81,420.49,314.64,Other credit risk mitigants,9.0,True,center,False
82,78.5,55.54,43.1 Maximum exposure to credit risk,9.0,True,left,False
82,421.63,55.65,Analysis of Collateral,9.0,True,left,False
82,546.82,55.43,Derivatives,9.0,True,left,False
82,597.97,54.72,"Loans and advances to customers, Contingent liabilities and commitments",9.0,True,left,False
83,81.38,57.6,43.2Loansandadvancestocustomers,9.0,True,left,False
83,280.96,55.92,Non-performing assets (NPAs),9.0,True,left,False
85,78.5,55.56,43.3 Credit quality of Government securities and treasury bills and Bank and corporate debt securities,9.0,True,left,False
86,81.38,57.6,43.4Creditriskbygeographyandindustry,9.0,True,left,False
87,81.55,55.37,44. Market Risk,9.0,True,left,False
87,85.46,57.6,44.MarketRisk,9.0,True,left,False
87,323.11,56.25,Market RiskManagement,9.0,True,left,False
87,374.55,55.88,• Policies,9.0,True,left,False
87,530.93,55.77,• Risk Methodologies,9.0,True,left,False
87,576.95,321.16,"Processes, Systemsand Reports",9.0,True,center,False
88,88.95,56.1,Market Risk,9.0,True,left,False
89,81.87,55.38,45. Liquidity Risk,9.0,True,left,False
89,85.46,57.6,45.LiquidityRisk,9.0,True,left,False
89,189.85,56.17,Liquidity RiskManagement,9.0,True,left,False
89,250.88,59.15,• Policies,9.0,True,left,False
89,441.55,313.64,Liquidity Managementand Funding Strategy,9.0,True,center,False
89,572.98,59.48,• Risk Methodologies,9.0,True,left,False
90,161.23,56.29,Liquidity riskin 2022,9.0,True,left,False
91,77.07,55.67,45.1 Contractual maturity profile of assets and liabilities,9.0,True,left,False
91,80.19,57.6,45.1Contractualmaturityprofileofassetsandliabilities,9.0,True,left,False
92,77.16,55.79,45.2 Contingent liabilities and commitments,9.0,True,left,False
92,80.19,57.6,45.2Contingentliabilitiesandcommitments,9.0,True,left,False
93,77.89,343.1,Cybersecurity risk,9.0,True,center,False
93,81.12,55.6,46. Operational Risk,9.0,True,left,False
93,84.26,57.6,46.OperationalRisk,9.0,True,left,False
93,188.77,55.87,Operational RiskManagement,9.0,True,left,False
93,240.73,55.85,• Policies,9.0,True,left,False
93,295.04,343.14,Compliance risk,9.0,True,center,False
93,407.43,55.78,• Risk Methodologies,9.0,True,left,False
93,688.95,342.66,"Newproduct, outsourcing and ecosystem partnershiprisks",9.0,True,center,False
93,717.88,74.06,Technology risk,9.0,True,center,False
94,77.61,73.59,Othermitigation programmes,9.0,True,center,False
94,81.11,324.56,47. CapitalManagement,9.0,True,center,False
94,84.26,326.76,47.CapitalManagement,9.0,True,center,False
94,440.34,56.14,"• Processes, Systemsand Reports",9.0,True,left,False
95,81.42,55.99,48. Segment Reporting,9.0,True,left,False
95,106.14,55.98,48.1 Business segment reporting,9.0,True,left,False
95,271.89,55.99,ConsumerBanking/ WealthManagement,9.0,True,left,False
95,354.74,56.06,Institutional Banking,9.0,True,left,False
95,510.11,56.03,TreasuryMarkets,9.0,True,left,False
95,623.58,55.91,Others,9.0,True,left,False
97,76.57,54.56,48.2 Geographical segment reporting(a),9.0,True,left,False
97,79.59,56.64,48.2Geographicalsegmentreporting,9.0,True,left,False
