institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,6,ASF Item,Retail deposits and deposits from small business customers:,Less stable deposits,,,3,Unweighted value by residual maturity,≥ 1yr,2,707.0,707,reported,0,1,asf_retail_less,,7,4,ocbc_4q24_p3,nsfr_dec24,7,4,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,6,ASF Item,Retail deposits and deposits from small business customers:,Less stable deposits,,,3,Weighted value,,1,126108.0,"126,108",reported,0,1,asf_retail_less,,7,5,ocbc_4q24_p3,nsfr_dec24,7,5,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,7,ASF Item,Wholesale funding:,,,,2,Unweighted value by residual maturity,No Maturity,2,77394.0,"77,394",reported,0,1,asf_wholesale,,8,1,ocbc_4q24_p3,nsfr_dec24,8,1,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,7,ASF Item,Wholesale funding:,,,,2,Unweighted value by residual maturity,< 6 months,2,142613.0,"142,613",reported,0,1,asf_wholesale,,8,2,ocbc_4q24_p3,nsfr_dec24,8,2,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,7,ASF Item,Wholesale funding:,,,,2,Unweighted value by residual maturity,6 months to <1 yr,2,8111.0,"8,111",reported,0,1,asf_wholesale,,8,3,ocbc_4q24_p3,nsfr_dec24,8,3,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,7,ASF Item,Wholesale funding:,,,,2,Unweighted value by residual maturity,≥ 1yr,2,4509.0,"4,509",reported,0,1,asf_wholesale,,8,4,ocbc_4q24_p3,nsfr_dec24,8,4,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,7,ASF Item,Wholesale funding:,,,,2,Weighted value,,1,75550.0,"75,550",reported,0,1,asf_wholesale,,8,5,ocbc_4q24_p3,nsfr_dec24,8,5,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,8,ASF Item,Wholesale funding:,Operational deposits,,,3,Unweighted value by residual maturity,No Maturity,2,42024.0,"42,024",reported,0,1,asf_ws_op,,9,1,ocbc_4q24_p3,nsfr_dec24,9,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,8,ASF Item,Wholesale funding:,Operational deposits,,,3,Unweighted value by residual maturity,< 6 months,2,,-,null,0,1,asf_ws_op,,9,2,ocbc_4q24_p3,nsfr_dec24,9,2,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,8,ASF Item,Wholesale funding:,Operational deposits,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,asf_ws_op,,9,3,ocbc_4q24_p3,nsfr_dec24,9,3,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,8,ASF Item,Wholesale funding:,Operational deposits,,,3,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,asf_ws_op,,9,4,ocbc_4q24_p3,nsfr_dec24,9,4,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,8,ASF Item,Wholesale funding:,Operational deposits,,,3,Weighted value,,1,21012.0,"21,012",reported,0,1,asf_ws_op,,9,5,ocbc_4q24_p3,nsfr_dec24,9,5,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,9,ASF Item,Wholesale funding:,Other wholesale funding,,,3,Unweighted value by residual maturity,No Maturity,2,35370.0,"35,370",reported,0,1,asf_ws_other,,10,1,ocbc_4q24_p3,nsfr_dec24,10,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,9,ASF Item,Wholesale funding:,Other wholesale funding,,,3,Unweighted value by residual maturity,< 6 months,2,142613.0,"142,613",reported,0,1,asf_ws_other,,10,2,ocbc_4q24_p3,nsfr_dec24,10,2,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,9,ASF Item,Wholesale funding:,Other wholesale funding,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,8111.0,"8,111",reported,0,1,asf_ws_other,,10,3,ocbc_4q24_p3,nsfr_dec24,10,3,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,9,ASF Item,Wholesale funding:,Other wholesale funding,,,3,Unweighted value by residual maturity,≥ 1yr,2,4509.0,"4,509",reported,0,1,asf_ws_other,,10,4,ocbc_4q24_p3,nsfr_dec24,10,4,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,9,ASF Item,Wholesale funding:,Other wholesale funding,,,3,Weighted value,,1,54538.0,"54,538",reported,0,1,asf_ws_other,,10,5,ocbc_4q24_p3,nsfr_dec24,10,5,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,10,ASF Item,Liabilities with matching interdependent assets,,,,2,Unweighted value by residual maturity,No Maturity,2,,-,null,0,1,asf_interdep,,11,1,ocbc_4q24_p3,nsfr_dec24,11,1,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,10,ASF Item,Liabilities with matching interdependent assets,,,,2,Unweighted value by residual maturity,< 6 months,2,,-,null,0,1,asf_interdep,,11,2,ocbc_4q24_p3,nsfr_dec24,11,2,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,10,ASF Item,Liabilities with matching interdependent assets,,,,2,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,asf_interdep,,11,3,ocbc_4q24_p3,nsfr_dec24,11,3,1
