institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,8,ASF Item,Wholesale funding:,Operational deposits,,,3,Unweighted value by residual maturity,No Maturity,2,38977.0,"38,977",reported,0,1,asf_ws_op,,9,1,dbs_4q23_p3,nsfr_dec23,9,1,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,8,ASF Item,Wholesale funding:,Operational deposits,,,3,Unweighted value by residual maturity,< 6 months,2,,-,null,0,1,asf_ws_op,,9,2,dbs_4q23_p3,nsfr_dec23,9,2,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,8,ASF Item,Wholesale funding:,Operational deposits,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,asf_ws_op,,9,3,dbs_4q23_p3,nsfr_dec23,9,3,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,8,ASF Item,Wholesale funding:,Operational deposits,,,3,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,asf_ws_op,,9,4,dbs_4q23_p3,nsfr_dec23,9,4,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,8,ASF Item,Wholesale funding:,Operational deposits,,,3,Weighted value,,1,19489.0,"19,489",reported,0,1,asf_ws_op,,9,5,dbs_4q23_p3,nsfr_dec23,9,5,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,9,ASF Item,Wholesale funding:,Other wholesale funding,,,3,Unweighted value by residual maturity,No Maturity,2,72028.0,"72,028",reported,0,1,asf_ws_other,,10,1,dbs_4q23_p3,nsfr_dec23,10,1,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,9,ASF Item,Wholesale funding:,Other wholesale funding,,,3,Unweighted value by residual maturity,< 6 months,2,191421.0,"191,421",reported,0,1,asf_ws_other,,10,2,dbs_4q23_p3,nsfr_dec23,10,2,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,9,ASF Item,Wholesale funding:,Other wholesale funding,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,12471.0,"12,471",reported,0,1,asf_ws_other,,10,3,dbs_4q23_p3,nsfr_dec23,10,3,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,9,ASF Item,Wholesale funding:,Other wholesale funding,,,3,Unweighted value by residual maturity,≥ 1yr,2,25866.0,"25,866",reported,0,1,asf_ws_other,,10,4,dbs_4q23_p3,nsfr_dec23,10,4,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,9,ASF Item,Wholesale funding:,Other wholesale funding,,,3,Weighted value,,1,97268.0,"97,268",reported,0,1,asf_ws_other,,10,5,dbs_4q23_p3,nsfr_dec23,10,5,2
