check,detail
as_at_magnitude,"United Overseas Bank Ltd bs.assets.total 2025-06-30: as_at=4566 vs 1H=60898 (ratio=13, seg=SEG_OTHER, geo=OTH)"
as_at_magnitude,"United Overseas Bank Ltd bs.assets.total 2024-12-31: as_at=3865 vs FY=54989 (ratio=14, seg=SEG_OTHER, geo=OTH)"
as_at_magnitude,"United Overseas Bank Ltd bs.assets.total 2024-12-31: as_at=3865 vs 2H=54989 (ratio=14, seg=SEG_OTHER, geo=OTH)"
as_at_magnitude,"DBS Group Holdings Ltd bs.assets.customer_loans_net 2025-12-31: as_at=445011 vs NULL=-23317 (ratio=0.052, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.assets.customer_loans_net 2025-12-31: as_at=445011 vs NULL=-13582 (ratio=0.031, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs 2H=4579 (ratio=0.0075, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs 2H=1.52 (ratio=2.5e-06, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs 2H=340 (ratio=0.00056, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs 2H=-1749 (ratio=0.0029, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs 2H=-1409 (ratio=0.0023, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs 2H=189 (ratio=0.00031, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs 2H=-892 (ratio=0.0015, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs 2H=-703 (ratio=0.0012, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs NULL=9774 (ratio=0.016, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs NULL=1.67 (ratio=2.7e-06, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs NULL=12362 (ratio=0.02, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2025-12-31: as_at=610023 vs NULL=2.25 (ratio=3.7e-06, seg=SEG_TOTAL, geo=GLOBAL)"
