institution,concept_key,concept_name,period,period_span,segment_key,geo_key,industry_key,legal_entity,n_candidates,competing_values,competing_sources,chosen_value
DBS Group Holdings Ltd,reg.capital.cet1_ratio,CET1 ratio,2024-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,6,9.2 | 15.1 | 17,9.2@tier9:capital_adequacy || 15.1@tier9:capital_adequacy || 17@tier9:capital_adequacy,9.2
Oversea-Chinese Banking Corporation Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2025-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,6,7126 | 312807 | 320413 | 18,"7126@tier0:average_balance_sheet || 312807@tier0:average_balance_sheet || 320413@tier1:financial_highlights,financial_highlights_continued || 18@tier9:credit_costs_bps_1",7126.0
Oversea-Chinese Banking Corporation Ltd,bs.equity.shareholders,Shareholders' equity,2025-03-31,1Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,6,59190 | 61566,"59190@tier1:financial_highlights,financial_highlights_unaudited || 61566@tier1:financial_highlights,financial_highlights_unaudited",59190.0
Oversea-Chinese Banking Corporation Ltd,bs.equity.shareholders,Shareholders' equity,2024-12-31,4Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,6,57616 | 59316,"57616@tier1:financial_highlights,financial_highlights_unaudited || 59316@tier1:financial_highlights,financial_highlights_unaudited",57616.0
Oversea-Chinese Banking Corporation Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2025-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,6,407 | 406943 | 419851,407@tier9:strong_funding_liquidity_and_capital_position || 406943@tier9:deposits || 419851@tier9:deposits,406943.0
United Overseas Bank Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2025-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,6,338971 | 342900,338971@tier9:customer_loans || 342900@tier9:customer_loans,342900.0
DBS Group Holdings Ltd,bs.credit.allowances_stage12_gp,General allowances balance (ECL stage 1 & 2),2022-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,3398 | 3737,"3398@tier9:customer_loans || 3737@tier9:loss_allowance_coverage,non_performing_assets_and_loss_allowance_coverage",3737.0
DBS Group Holdings Ltd,bs.credit.allowances_stage12_gp,General allowances balance (ECL stage 1 & 2),2021-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,3534 | 3876,"3534@tier9:customer_loans || 3876@tier9:loss_allowance_coverage,non_performing_assets_and_loss_allowance_coverage",3876.0
DBS Group Holdings Ltd,bs.credit.allowances_stage3_sp,Specific allowances balance (ECL stage 3),2022-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,2746 | 2955,"2746@tier9:customer_loans || 2955@tier9:loss_allowance_coverage,non_performing_assets_and_loss_allowance_coverage",2955.0
DBS Group Holdings Ltd,bs.credit.allowances_stage3_sp,Specific allowances balance (ECL stage 3),2021-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,5,2545 | 2926,"2545@tier9:customer_loans || 2926@tier9:loss_allowance_coverage,non_performing_assets_and_loss_allowance_coverage",2926.0
